wkt_geom,fid,FIELD_ID,SINGLE_NUM,OID_T,SHAPE_AREA,SHAPE_LEN,xcoord,ycoord
Point (146959.62428340778569691 651472.46714221965521574),325,KR20,20,341,0,0,146959.6243,651472.4671
Point (146704.5940153238188941 654594.57855520211160183),165,AT13,13,175,0,0,146704.594,654594.5786
Point (146611.2037489497452043 654499.62862865335773677),163,AT11,11,173,0,0,146611.2037,654499.6286
Point (146542.61736934675718658 654408.00577497924678028),193,AT10,10,172,0,0,146542.6174,654408.0058
Point (146534.80462506308685988 651781.01771759102120996),326,KR21,21,342,0,0,146534.8046,651781.0177
Point (146531.64994578959885985 654609.5013013172429055),164,AT12,12,174,0,0,146531.6499,654609.5013
Point (146487.71203543659066781 652546.49433273542672396),352,KR31,31,352,0,0,146487.712,652546.4943
Point (146446.14099088020157069 651202.65885939344298095),323,KR19,19,339,0,0,146446.141,651202.6589
Point (146441.60841894440818578 654116.28069763537496328),197,AT6,6,180,0,0,146441.6084,654116.2807
Point (146391.82586314785294235 652390.20567739300895482),351,KR30,30,351,0,0,146391.8259,652390.2057
Point (146338.69609204429434612 653932.30118627182673663),194,AT3,3,177,0,0,146338.6961,653932.3012
Point (146322.22057985261199065 654242.49966397846583277),198,AT8,8,181,0,0,146322.2206,654242.4997
Point (146321.72992165089817718 651966.50621606095228344),330,KR25,25,346,0,0,146321.7299,651966.5062
Point (146291.03725481545552611 653717.14602830284275115),192,AT1,1,171,0,0,146291.0373,653717.146
Point (146288.03347546825534664 651515.52962789195589721),322,KR18,18,338,0,0,146288.0335,651515.5296
Point (146279.67769092140952125 654380.40872608695644885),199,AT9,9,182,0,0,146279.6777,654380.4087
Point (146266.81105309881968424 651776.12731590983457863),329,KR24,24,345,0,0,146266.8111,651776.1273
Point (146246.97323058193433098 653418.36394659150391817),353,KR32,32,353,0,0,146246.9732,653418.3639
Point (146207.43552275240654126 652506.81962480989750475),358,KR37,37,358,0,0,146207.4355,652506.8196
Point (146201.99504263795097359 654069.77698254608549178),195,AT4,4,178,0,0,146201.995,654069.777
Point (146197.55181137574254535 652166.2045719416346401),349,KR29,29,349,0,0,146197.5518,652166.2046
Point (146122.9806876311195083 653850.99985430936794728),166,AT2,2,176,0,0,146122.9807,653850.9999
Point (146118.43583410329301842 653141.49625481956172734),355,KR34,34,355,0,0,146118.4358,653141.4963
Point (146083.83587083627935499 653410.47223803016822785),354,KR33,33,354,0,0,146083.8359,653410.4722
Point (146047.46180081708007492 652720.42088517278898507),357,KR36,36,357,0,0,146047.4618,652720.4209
Point (146018.62779259387752973 651619.3693807857343927),328,KR23,23,344,0,0,146018.6278,651619.3694
Point (145991.82977274249424227 654113.66811824555043131),196,AT5,5,179,0,0,145991.8298,654113.6681
Point (145985.60974060348235071 651361.60275233711581677),321,KR17,17,337,0,0,145985.6097,651361.6028
Point (145918.71055582803091966 651098.97902494750451297),337,KR13,13,335,0,0,145918.7106,651098.979
Point (145903.78654184920014814 652530.73192147037480026),356,KR35,35,356,0,0,145903.7865,652530.7319
Point (145858.59046245529316366 650255.92820098076481372),380,KR8,8,363,0,0,145858.5905,650255.9282
Point (145857.43536276798113249 651472.79146748792845756),327,KR22,22,343,0,0,145857.4354,651472.7915
Point (145809.78135531887528487 650732.1725253815529868),320,KR14,14,336,0,0,145809.7814,650732.1725
Point (145780.27281357345054857 651753.31894078326877207),401,KR26,26,347,0,0,145780.2728,651753.3189
Point (145682.84802678422420286 651090.20964142133016139),336,KR12,12,334,0,0,145682.848,651090.2096
Point (145512.65932390294619836 650892.69578841526526958),335,KR11,11,333,0,0,145512.6593,650892.6958
Point (145444.82826056148041971 651159.7738305707462132),334,KR10,10,332,0,0,145444.8283,651159.7738
Point (145411.37141204089857638 651815.06042059906758368),348,KR27,27,348,0,0,145411.3714,651815.0604
Point (145359.40880520027712919 650594.66719110496342182),381,KR9,9,364,0,0,145359.4088,650594.6672
Point (144952.33040081744547933 650120.6604374279268086),379,KR7,7,362,0,0,144952.3304,650120.6604
Point (144832.71253379178233445 673301.03526350436732173),2814,JU03,3,3106,0,0,144832.7125,673301.0353
Point (144768.10339701763587072 673202.5595081482315436),2815,JU02,2,3107,0,0,144768.1034,673202.5595
Point (144731.51848806720227003 672660.39361290039960295),2696,JU04,4,3110,0,0,144731.5185,672660.3936
Point (144657.55592184481793083 673625.25700945488642901),2813,JU08,8,3105,0,0,144657.5559,673625.257
Point (144596.38667597621679306 672655.15240649587940425),3074,JU05,5,3109,0,0,144596.3867,672655.1524
Point (144576.57428041481762193 649466.93515465967357159),378,KR6,6,361,0,0,144576.5743,649466.9352
Point (144573.16930495802080259 673111.68272671767044812),3073,JU01,1,3108,0,0,144573.1693,673111.6827
Point (144267.79521437018411234 672437.9747053540777415),2698,JU07,7,3112,0,0,144267.7952,672437.9747
Point (144242.83093589110649191 649343.9874624852091074),377,KR5,5,360,0,0,144242.8309,649343.9875
Point (144238.28130886590224691 671603.35892699006944895),2697,JU06,6,3111,0,0,144238.2813,671603.3589
Point (144202.39763947250321507 649180.91137880855239928),350,KR3,3,350,0,0,144202.3976,649180.9114
Point (144136.12819821792072617 649252.19630503712687641),376,KR4,4,359,0,0,144136.1282,649252.1963
Point (144079.5641011995030567 648948.23839195119217038),324,KR2,2,340,0,0,144079.5641,648948.2384
Point (144029.34702851113979705 649066.22987844480667263),333,KR1,1,331,0,0,144029.347,649066.2299
Point (143862.08946615530294366 648516.52886460407171398),120,AB10,10,146,0,0,143862.0895,648516.5289
Point (143514.84802093738107942 648492.96708252467215061),191,AB9,9,170,0,0,143514.848,648492.9671
Point (143264.90665441821329296 647973.17675321851857007),121,AB11,11,147,0,0,143264.9067,647973.1768
Point (143177.15746182907605544 648139.2931374468607828),122,AB12,12,148,0,0,143177.1575,648139.2931
Point (142868.60106205896590836 670850.09505265194457024),14,BN14,14,1,0,0,142868.6011,670850.0951
Point (142840.06006366154178977 648283.61853485740721226),16,AB41,41,3,0,0,142840.0601,648283.6185
Point (142735.56836539183859713 669138.32225749513600022),1411,KL35,35,1360,0,0,142735.5684,669138.3223
Point (142735.53053571103373542 670713.65464907162822783),679,BN13,13,692,0,0,142735.5305,670713.6546
Point (142621.62183230911614373 670545.61693583207670599),678,BN12,12,691,0,0,142621.6218,670545.6169
Point (142618.38085156926536001 669529.86936907505150884),672,BN8,8,722,0,0,142618.3809,669529.8694
Point (142585.18970187651575543 668829.29927001311443746),1409,KL33,33,1358,0,0,142585.1897,668829.2993
Point (142568.64919715622090735 671584.72679948515724391),726,BN15,15,693,0,0,142568.6492,671584.7268
Point (142485.77565302985021845 669961.75379073887597769),668,BN10,10,689,0,0,142485.7757,669961.7538
Point (142477.17760845326120034 669597.8557892037788406),671,BN7,7,721,0,0,142477.1776,669597.8558
Point (142469.26484535122290254 670189.17665663093794137),742,BN31,31,709,0,0,142469.2648,670189.1767
Point (142446.73034507769625634 671751.86602218193002045),727,BN16,16,694,0,0,142446.7303,671751.866
Point (142434.91101315480773337 669734.31162963528186083),673,BN9,9,723,0,0,142434.911,669734.3116
Point (142380.47797435856773518 669237.43911736621521413),670,BN6,6,720,0,0,142380.478,669237.4391
Point (142367.99610373500036076 668699.44291452679317445),1470,KL20,20,1344,0,0,142367.9961,668699.4429
Point (142353.83591858198633417 670351.44301605690270662),669,BN11,11,690,0,0,142353.8359,670351.443
Point (142347.09890748764155433 671788.87703063676599413),728,BN17,17,695,0,0,142347.0989,671788.877
Point (142293.47941118860035203 670089.07354428898543119),743,BN32,32,710,0,0,142293.4794,670089.0735
Point (142290.31074640233418904 668349.27174886269494891),1387,KL32,32,1357,0,0,142290.3107,668349.2717
