Sample,Date,Winter,Field_Code,Shooting,
IS2018F09,23/02/2018,2017/2018,2K4,Yes,
IS2018F10,23/02/2018,2017/2018,2K4,Yes,
IS2018F11,23/02/2018,2017/2018,2K4,Yes,
IS2019F138,06/04/2019,2018/2019,AL8,,
IS2019F139,06/04/2019,2018/2019,AL8,,
IS2019F140,06/04/2019,2018/2019,AL8,,
IS2019F141,06/04/2019,2018/2019,AL8,,
IS2019F186,30/03/2019,2018/2019,AN20,,
IS2019F187,30/03/2019,2018/2019,AN20,,
IS2019F188,30/03/2019,2018/2019,AN20,,
IS2019F189,30/03/2019,2018/2019,AN20,,
IS2019F234,14/11/2019,2019/2020,AO11,No,
IS2019F235,14/11/2019,2019/2020,AO11,No,
IS2019F236,14/11/2019,2019/2020,AO11,No,
IS2019F237,14/11/2019,2019/2020,AO11,No,
IS2019F238,14/11/2019,2019/2020,AO11,No,
IS2020F428,19/03/2020,2019/2020,AO11,No,
IS2020F429,19/03/2020,2019/2020,AO11,No,
IS2020F430,19/03/2020,2019/2020,AO11,No,
IS2020F431,19/03/2020,2019/2020,AO11,No,
IS2020F432,19/03/2020,2019/2020,AO11,No,
IS2020F433,19/03/2020,2019/2020,AO11,No,
IS2020F434,19/03/2020,2019/2020,AO11,No,
IS2020F435,19/03/2020,2019/2020,AO11,No,
IS2020F436,19/03/2020,2019/2020,AO11,No,
IS2020F437,19/03/2020,2019/2020,AO11,No,
IS2018F25,20/02/2018,2017/2018,AO15,No,
IS2018F45,20/02/2018,2017/2018,AO15,No,
IS2018F48,20/02/2018,2017/2018,AO15,No,
IS2018F51,20/02/2018,2017/2018,AO15,No,
IS2019F202,30/03/2019,2018/2019,AO21,No,
IS2019F203,30/03/2019,2018/2019,AO21,No,
IS2019F204,30/03/2019,2018/2019,AO21,No,
IS2019F205,30/03/2019,2018/2019,AO21,No,
IS2020F398,17/03/2020,2019/2020,AO21,No,
IS2020F399,17/03/2020,2019/2020,AO21,No,
IS2020F400,17/03/2020,2019/2020,AO21,No,
IS2020F401,17/03/2020,2019/2020,AO21,No,
IS2020F402,17/03/2020,2019/2020,AO21,No,
IS2020F403,17/03/2020,2019/2020,AO21,No,
IS2020F404,17/03/2020,2019/2020,AO21,No,
IS2020F405,17/03/2020,2019/2020,AO21,No,
IS2020F406,17/03/2020,2019/2020,AO21,No,
IS2020F407,17/03/2020,2019/2020,AO21,No,
IS2020F276,02/02/2020,2019/2020,AO24,No,
IS2020F277,02/02/2020,2019/2020,AO24,No,
