Sample Code,Date ,Time,Field Code,Species,GWfG Number (AM),GBG Number (AM),GWfG Number (PM),GBG Number (PM),Within Field,Standing Water in Field,Field Type,Notes,,
IS19001,07/02/2019,17:55,RM5,GWfG,NA,NA,180,0,Middle,N,,,,IG Res
IS19002,07/02/2019,17:55,RM5,GWfG,NA,NA,180,0,Middle,N,,,,IG Rec
IS19003,07/02/2019,17:55,RM5,GWfG,NA,NA,180,0,Middle,N,,,,IG P
IS19004,07/02/2019,17:55,RM5,GWfG,NA,NA,180,0,Middle,N,,,,
IS19005,08/02/2019,15:10,BV12,GWfG,NA,NA,45,0,Edge,Y,,Collected next to standing water,,
IS19006,08/02/2019,15:10,BV12,GWfG,NA,NA,45,0,Edge,Y,,,,
IS19007,08/02/2019,15:10,BV12,GWfG,NA,NA,45,0,Edge,Y,,,,
IS19008,08/02/2019,15:10,BV12,GWfG,NA,NA,45,0,Edge,Y,,,,
IS19009,08/02/2019,17:55,OV12,GWfG,235,0,265,0,Middle,N,,,,
IS19010,08/02/2019,17:55,OV12,GWfG,235,0,265,0,Middle,N,,,,
IS19011,08/02/2019,17:55,OV12,GWfG,235,0,265,0,Middle,N,,,,
IS19012,11/02/2019,18:15,NB8,GWfG,NA,NA,195,700,Edge,N,IG RES,Mixed Species Flock,,
IS19013,11/02/2019,18:15,NB8,GWfG,NA,NA,195,700,Edge,N,IG RES,Mixed Species Flock,,
IS19014,11/02/2019,18:15,NB8,GWfG,NA,NA,195,700,Edge,N,IG RES,Mixed Species Flock,,
IS19015,11/02/2019,18:15,NB8,GBG,NA,NA,195,700,Middle,N,IG RES,Mixed Species Flock,,
IS19016,11/02/2019,18:15,NB8,GBG,NA,NA,195,700,Middle,N,IG RES,Mixed Species Flock,,
IS19017,11/02/2019,18:15,NB8,GBG,NA,NA,195,700,Middle,N,IG RES,Mixed Species Flock,,
IS19018,13/02/2019,18:45,OM54,GWfG,21,0,27,0,Middle,Y,IG P,5 Gryelag Geese in field,,
IS19019,13/02/2019,18:45,OM54,GWfG,21,0,27,0,Middle,Y,IG P,5 Gryelag Geese in field,,
IS19020,13/02/2019,18:45,OM54,GWfG,21,0,27,0,Middle,Y,IG P,5 Gryelag Geese in field,,
IS19021,14/02/2019,18:30,CP21,GWfG,NA,NA,120,0,Middle,N,?,"Sheep, and some kind of root crop present",,
IS19022,14/02/2019,18:30,CP21,GWfG,NA,NA,120,0,Middle,N,?,"Sheep, and some kind of root crop present",,
IS19023,14/02/2019,18:30,CP21,GWfG,NA,NA,120,0,Middle,N,?,"Sheep, and some kind of root crop present",,
IS19024,15/02/2019,18:00,GC39,GBG,NA,NA,0,1640,Middle,N,,,,
IS19025,15/02/2019,18:00,GC39,GBG,NA,NA,0,1640,Middle,N,,,,
IS19026,15/02/2019,18:00,GC39,GBG,NA,NA,0,1640,Middle,N,,,,
IS19027,15/02/2019,18:15,US12,GWfG,NA,NA,230,0,Middle,N,IG P?,,,
IS19028,15/02/2019,18:15,US12,GWfG,NA,NA,230,0,Middle,N,IG P?,,,
IS19029,15/02/2019,18:15,US12,GWfG,NA,NA,230,0,Middle,N,IG P?,,,
IS19030,16/02/2019,18:15,CP21,GWfG,NA,NA,130,0,Middle,N,IG P?,,,
IS19031,16/02/2019,18:15,CP21,GWfG,NA,NA,130,0,Middle,N,IG P?,,,
IS19032,16/02/2019,18:15,CP21,GWfG,NA,NA,130,0,Middle,N,IG P?,,,
IS19033,24/02/2019,18:00,KO27,GWfG,NA,NA,160,0,Edge,Y,,,,
IS19034,24/02/2019,18:00,KO27,GWfG,NA,NA,160,0,Edge,Y,,,,
IS19035,24/02/2019,18:00,KO27,GWfG,NA,NA,160,0,Edge,Y,,,,
IS19036,24/02/2019,18:00,KO27,GWfG,NA,NA,160,0,Edge,Y,,,,
IS19037,24/02/2019,18:15,CP51,GWfG,NA,NA,40,0,Edge,Y,,Barncale use in days prior (200-300 birds),,
IS19038,24/02/2019,18:15,CP51,GWfG,NA,NA,40,0,Edge,Y,,Barncale use in days prior (200-300 birds),,
IS19039,24/02/2019,18:15,CP51,GWfG,NA,NA,40,0,Edge,Y,,Barncale use in days prior (200-300 birds),,
IS19040,26/02/2019,18:30,CP20,GWfG,20,0,NA,NA,Edge,Y,,May have eaten bait (grain only bait),,
IS19041,26/02/2019,18:30,CP20,GWfG,20,0,NA,NA,Edge,Y,,May have eaten bait (grain only bait),,
IS19042,26/02/2019,18:30,CP20,GWfG,20,0,NA,NA,Edge,Y,,May have eaten bait (grain only bait),,
IS19043,26/02/2019,20:45,CT32,GWfG,15,0,110,0,Edge,Y,,"May have eaten bait (grain only bait), Ronnachmore",,
IS19044,26/02/2019,20:45,CT32,GWfG,15,0,110,0,Edge,Y,,"May have eaten bait (grain only bait), Ronnachmore",,
IS19045,26/02/2019,20:45,CT32,GWfG,15,0,110,0,Edge,Y,,"May have eaten bait (grain only bait), Ronnachmore",,
IS19046,26/02/2019,20:45,CT32,GWfG,15,0,110,0,Edge,Y,,"May have eaten bait (grain only bait), Ronnachmore",,
IS19047,27/02/2019,12:40,CP55,GWfG,60,0,NA,NA,Edge,Y,,,,
IS19048,27/02/2019,12:40,CP55,GWfG,60,0,NA,NA,Edge,Y,,,,
IS19049,27/02/2019,12:40,CP55,GWfG,60,0,NA,NA,Edge,Y,,,,
IS19050,27/02/2019,13:05,CP56,GWfG,15,5,NA,NA,Edge,Y,,Normally very high GBG numbers,,
IS19051,27/02/2019,17:20,BB7,GWfG,230,0,0,0,Middle,N,,,,
IS19052,27/02/2019,17:20,BB7,GWfG,230,0,0,0,Edge,N,,,,
IS19053,27/02/2019,17:20,BB7,GWfG,230,0,0,0,Edge,N,,,,
IS19054,27/02/2019,17:40,SU18,GWfG,130,0,0,0,Middle,N,,,,
IS19055,27/02/2019,17:40,SU18,GWfG,130,0,0,0,Middle,N,,,,
IS19056,27/02/2019,17:40,SU18,GWfG,130,0,0,0,Middle,N,,,,
IS19057,18/03/2019,21:00,OM40,GWfG,NA,NA,60,0,Middle,N,Imp Past,,,
IS19058,18/03/2019,21:00,OM40,GWfG,NA,NA,60,0,Middle,N,Imp Past,,,
IS19059,18/03/2019,21:00,OM40,GWfG,NA,NA,60,0,Middle,N,Imp Past,,,
IS19060,19/03/2019,16:00,LR15,GWfG,155,0,NA,NA,Middle,Y,Imp Past + Juncus ,No Stock,,
IS19061,19/03/2019,16:00,LR15,GWfG,155,0,NA,NA,Middle,Y,Imp Past + Juncus ,No Stock,,
IS19062,19/03/2019,16:00,LR15,GWfG,155,0,NA,NA,Middle,Y,Imp Past + Juncus ,No Stock,,
IS19063,19/03/2019,19:00,BE19,GWfG,NA,NA,70,0,Middle,N,Imp Past ,No Stock,,
IS19064,19/03/2019,19:00,BE19,GWfG,NA,NA,70,0,Middle,N,Imp Past ,No Stock,,
IS19065,19/03/2019,19:00,BE19,GWfG,NA,NA,70,0,Middle,N,Imp Past ,No Stock,,
IS19066,19/03/2019,19:30,KP1,GWfG,115,0,NA,NA,Edge,Y,Imp Past ,Sheep,,
IS19067,19/03/2019,19:30,KP1,GWfG,115,0,NA,NA,Edge,Y,Imp Past ,Sheep,,
IS19068,19/03/2019,19:30,KP1,GWfG,115,0,NA,NA,Edge,Y,Imp Past ,Sheep,,
