Sample,Date,Winter,Species,Al,As,Bi,Cd,Co,Cr,Cu,Mo,Ni,Pb,Zn
IS19111,28/03/2019,2018/2019,GWFG,2213.225842,4.736104478,25.03603566,0.250384333,2.160518349,2.774870183,9.427630594,1.135376454,3.159777977,22.51891172,66.70442643
IS19104,28/03/2019,2018/2019,GWFG,1302.465112,0.776670759,7.925179707,0.187946999,0.674913012,1.559928279,9.514261375,0.425845283,2.621353917,16.50914632,46.81478814
IS19105,28/03/2019,2018/2019,GWFG,861.9383861,1.045814068,3.302375853,0.233853716,0.355408312,1.032792685,10.65840253,3.209688418,2.937162338,16.06778396,49.41251386
IS19149,01/04/2019,2018/2019,GWFG,8003.967991,3.513158969,26.53296583,0.291393505,6.582755818,8.60085344,78.47145074,3.06725546,18.42345877,14.47707098,283.6129722
IS19112,28/03/2019,2018/2019,GWFG,1534.417431,1.419268588,20.64004213,0.1321784,1.075119271,2.009570955,6.027186763,0.613477383,2.162350441,12.51350401,37.74344113
IS2019F85,26/02/2019,2018/2019,GBG,4401.239346,0.868259361,26.03990754,0.127298168,1.524380153,9.160139288,6.837511714,0.950261792,2.666645603,10.65660921,34.44060744
IS2019F193,01/04/2019,2018/2019,GBG,3598.840514,2.41247787,5.640904848,0.228123324,0.538007309,3.829474267,6.724128115,1.295780116,1.750761023,10.35575958,35.45042843
IS2018F07,22/02/2018,2017/2018,GBG,4010.392168,1.197498064,5.150309136,0.093617755,1.296405352,4.83373008,4.867653274,0.775316201,2.872363321,9.547616938,24.82674137
IS2019F54,26/02/2019,2018/2019,GBG,4972.657478,0.829414989,19.10159804,0.134920119,1.524870184,8.728381011,4.526962139,0.788250828,3.213414174,9.260382891,31.75816762
IS19003,07/02/2019,2018/2019,GWFG,3196.456058,2.401246264,12.36258448,0.16957061,1.643119957,3.197401093,10.16102683,0.415145239,2.473628937,9.150053821,29.92183449
IS2019F70,19/02/2019,2018/2019,GBG,5861.289739,2.626601798,5.563574244,0.22627155,1.32692285,7.279025437,8.394911017,2.088214122,3.692193031,8.518784533,32.12569593
IS2019F55,26/02/2019,2018/2019,GBG,3397.806164,0.33,10.77340252,0.116452289,1.04945457,6.637991622,9.21248035,0.691982424,2.584566788,8.35338289,39.82454389
IS19102,27/03/2019,2018/2019,GWFG,2878.281117,1.805465,11.87474784,0.1188284,1.703406234,3.947413342,11.19154516,0.933735713,4.29427895,8.315983397,42.32862797
IS19065,19/03/2019,2018/2019,GWFG,2184.178401,0.879468882,2.806925089,0.102821134,0.55644905,3.349825813,9.459183267,1.215216856,2.95566036,8.259173115,44.02544374
IS19072,20/03/2019,2018/2019,GWFG,3515.600556,0.912569594,11.05202559,0.125534929,0.898789191,7.133699942,6.894394195,0.80771323,2.55517821,8.068125895,38.90960607
IS19004,07/02/2019,2018/2019,GWFG,4300.982608,2.14211253,11.57905094,0.139743989,1.255276161,3.806590578,7.367185139,0.447702327,2.486620255,8.031461804,26.23281769
IS19073,20/03/2019,2018/2019,GWFG,3749.205249,0.863687994,6.656056998,0.134932675,0.807460899,7.266343353,7.671290256,0.600589092,2.584178665,7.927201418,35.22552064
IS19093,26/03/2019,2018/2019,GWFG,2457.627206,0.91294015,8.018284183,0.114485971,0.822266841,4.064857791,7.983893379,0.947955739,2.282732403,7.880069913,35.1461126
IS19145,31/03/2019,2018/2019,GWFG,5559.014319,3.743401337,45.74419571,0.187234616,3.318251469,7.568358545,11.89158462,0.939801079,5.110204181,7.80450752,36.21757923
IS19071,19/03/2019,2018/2019,GWFG,1759.602303,1.77617463,4.92511604,0.085567497,0.421114399,3.859050948,10.10963505,1.655554974,1.780273766,7.796327239,37.2000497
IS2018F18,22/02/2018,2017/2018,GBG,12097.72582,1.398487057,12.67116352,0.261932563,4.73372454,18.43502263,8.844911986,0.635349669,9.659320602,7.712813717,41.40038775
IS2019F153,01/04/2019,2018/2019,GBG,5844.196187,1.541464343,9.658289631,0.202588639,2.692142463,8.007071762,8.878083228,1.621157723,3.946727197,7.350859509,47.39741708
