Non_lead_shot_Cl,Time_Cl,Date_Cl,No_geese_killed_Cl,Shots_fired_Cl,Gun_used_S_R_Cl,Shotgun_shots_Cl,Rifle_shots_Cl,Species_Killed_Cl,Field_code_Cl,Raw_Farm_Name
NA,12:10:00,2005-11-01,NA,4,S,4,NA,NA,BY31,cornabus
NA,14:30:00,2005-11-01,NA,4,S,4,NA,NA,OV24,eorrabus
NA,14:50:00,2005-11-01,NA,2,S,2,NA,NA,BM7,ballimartin
NA,12:45:00,2005-11-02,NA,4,S,4,NA,NA,LY21,lyrabus
NA,14:20:00,2005-11-02,NA,4,S,4,NA,NA,BV31,cornabus
NA,09:00:00,2005-11-03,NA,3,S,3,NA,NA,KI2,kilchiaran
NA,09:45:00,2005-11-03,NA,6,S,6,NA,NA,OV24,eorrabus
NA,10:20:00,2005-11-03,NA,3,S,3,NA,NA,BM7,ballimartin
NA,11:30:00,2005-11-03,NA,2,S,2,NA,NA,RM18,ronnachmore
NA,12:35:00,2005-11-03,NA,3,S,3,NA,NA,BY31,cornabus
NA,14:45:00,2005-11-03,NA,2,S,2,NA,NA,TL21,tallant
NA,15:30:00,2005-11-03,NA,4,S,4,NA,NA,NB11,neriby
NA,09:20:00,2005-11-04,NA,4,S,4,NA,NA,CO4,coull
NA,09:45:00,2005-11-04,NA,2,S,2,NA,NA,BB2,ballinaby
NA,10:45:00,2005-11-04,2,4,S,4,NA,BA,KN9,ardnave
NA,12:00:00,2005-11-04,NA,3,S,3,NA,NA,US15,uiskentuie
NA,13:20:00,2005-11-04,NA,4,S,4,NA,NA,KO25,knocklearach
NA,14:50:00,2005-11-04,NA,2,S,2,NA,NA,LK6,ballinaby
NA,14:50:00,2005-11-04,NA,2,S,2,NA,NA,LK6,ballinaby
NA,09:15:00,2005-11-05,NA,3,S,3,NA,NA,KI10,kilchiaran
NA,09:15:00,2005-11-05,NA,3,S,3,NA,NA,KI10,kilchiaran
NA,10:00:00,2005-11-05,NA,2,S,2,NA,NA,SU19,sunderland
NA,10:00:00,2005-11-05,NA,2,S,2,NA,NA,SU19,sunderland
NA,10:30:00,2005-11-05,NA,5,S,5,NA,NA,CO1,coull
NA,10:50:00,2005-11-05,NA,3,S,3,NA,NA,LK6,ballinaby
NA,11:10:00,2005-11-05,NA,2,S,2,NA,NA,GG34,coille
NA,11:30:00,2005-11-05,NA,5,S,5,NA,NA,AN4,ardnave
NA,12:15:00,2005-11-05,NA,2,S,2,NA,NA,BU4,craigens
NA,13:25:00,2005-11-05,NA,2,S,2,NA,NA,BU31,cornabus
NA,09:10:00,2005-11-07,NA,2,S,2,NA,NA,KI10,kilchiaran
